Jun 14 19:46:33 haianh kernel: [24551.124941] Firewall: *UDP_OUT Blocked* IN= OUT=eth0 SRC=192.168.133.1292 DST=192.168.133.254 LEN=328 TOS=0x00 PREC=0x00 TTL=64 ID=21743 DF PROTO=UDP SPT=68 DPT=67 LEN=308 UID=0 GID=0 
Jun 14 19:46:52 haianh kernel: [24569.686264] Firewall: *UDP_OUT Blocked* IN= OUT=eth0 SRC=192.168.133.1292 DST=192.168.133.254 LEN=328 TOS=0x00 PREC=0x00 TTL=64 ID=23717 DF PROTO=UDP SPT=68 DPT=67 LEN=308 UID=0 GID=0 
Jun 14 19:47:01 haianh kernel: [24578.690158] Firewall: *UDP_OUT Blocked* IN= OUT=eth0 SRC=192.168.133.1292 DST=192.168.133.254 LEN=328 TOS=0x00 PREC=0x00 TTL=64 ID=23761 DF PROTO=UDP SPT=68 DPT=67 LEN=308 UID=0 GID=0 
Jun 14 19:47:21 haianh kernel: [24598.614974] Firewall: *UDP_OUT Blocked* IN= OUT=eth0 SRC=192.168.133.1292 DST=192.168.133.254 LEN=328 TOS=0x00 PREC=0x00 TTL=64 ID=26372 DF PROTO=UDP SPT=68 DPT=67 LEN=308 UID=0 GID=0 
Jun 14 19:47:31 haianh kernel: [24608.550542] Firewall: *UDP_OUT Blocked* IN= OUT=eth0 SRC=192.168.133.1292 DST=192.168.133.254 LEN=328 TOS=0x00 PREC=0x00 TTL=64 ID=27252 DF PROTO=UDP SPT=68 DPT=67 LEN=308 UID=0 GID=0 
Jun 14 19:47:38 haianh kernel: [24616.045895] Firewall: *Port Flood* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.1302 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=3357 PROTO=TCP SPT=2834 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:38 haianh kernel: [24616.045951] Firewall: *Port Flood* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.1302 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=20275 PROTO=TCP SPT=2835 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:38 haianh kernel: [24616.046117] Firewall: *Port Flood* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.1302 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=11176 PROTO=TCP SPT=2836 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:38 haianh kernel: [24616.046131] Firewall: *Port Flood* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.1302 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=35715 PROTO=TCP SPT=2837 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:38 haianh kernel: [24616.046149] Firewall: *Port Flood* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.1302 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=21536 PROTO=TCP SPT=2838 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:38 haianh kernel: [24616.046319] Firewall: *SYNFLOOD Blocked* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=22764 PROTO=TCP SPT=2840 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:38 haianh kernel: [24616.046327] Firewall: *SYNFLOOD Blocked* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=5128 PROTO=TCP SPT=2841 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:38 haianh kernel: [24616.046333] Firewall: *SYNFLOOD Blocked* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=9378 PROTO=TCP SPT=2842 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:38 haianh kernel: [24616.046340] Firewall: *SYNFLOOD Blocked* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=7033 PROTO=TCP SPT=2843 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
Jun 14 19:47:38 haianh kernel: [24616.046355] Firewall: *SYNFLOOD Blocked* IN=eth0 OUT= MAC=4c:34:88:b4:07:62:00:0c:29:1c:9c:b6:08:00 SRC=192.168.133.130 DST=192.168.133.129 LEN=72 TOS=0x00 PREC=0x00 TTL=64 ID=38529 PROTO=TCP SPT=2844 DPT=80 WINDOW=512 RES=0x00 SYN URGP=0 
